Type	Filter	WorkflowId	WorkflowInstanceID	JobRunID	Region	variable	value
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.TOTAL	358754
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.TOTAL	358754
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.TOTAL	3027158
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.TOTAL	3027158
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.TOTAL	358754
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.TOTAL	358754
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.TOTAL	3027158
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.TOTAL	3027158
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.TP	328895
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.TP	328895
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.TP	2936086
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.TP	2936086
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.TP	328895
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.TP	328895
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.TP	2936086
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.TP	2936086
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.FN	29859
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.FN	29859
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.FN	91072
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	TRUTH.FN	91072
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.FN	29859
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.FN	29859
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.FN	91072
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	TRUTH.FN	91072
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.TOTAL	346092
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.TOTAL	346092
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.TOTAL	2941078
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.TOTAL	2941078
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.TOTAL	346092
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.TOTAL	346092
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.TOTAL	2941078
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.TOTAL	2941078
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.FP	6949
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.FP	6949
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.FP	2476
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.FP	2476
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.FP	6949
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.FP	6949
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.FP	2476
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.FP	2476
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.UNK	12
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.UNK	12
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.UNK	0
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	QUERY.UNK	0
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.UNK	12
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.UNK	12
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.UNK	0
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	QUERY.UNK	0
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	FP.gt	1108
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	FP.gt	1108
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	FP.gt	85
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	FP.gt	85
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	FP.gt	1108
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	FP.gt	1108
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	FP.gt	85
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	FP.gt	85
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	FP.al	5457
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	FP.al	5457
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	FP.al	825
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	FP.al	825
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	FP.al	5457
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	FP.al	5457
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	FP.al	825
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	FP.al	825
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	METRIC.Recall	0.91677
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	METRIC.Recall	0.91677
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	METRIC.Recall	0.969915
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	METRIC.Recall	0.969915
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	METRIC.Recall	0.91677
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	METRIC.Recall	0.91677
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	METRIC.Recall	0.969915
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	METRIC.Recall	0.969915
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	METRIC.Precision	0.979921
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	METRIC.Precision	0.979921
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	METRIC.Precision	0.999158
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	METRIC.Precision	0.999158
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	METRIC.Precision	0.979921
INDEL	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	METRIC.Precision	0.979921
SNP	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	METRIC.Precision	0.999158
SNP	PASS	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	CodingSequence	METRIC.Precision	0.999158
INDEL	ALL	WF_b1de71.e6	WF_b1de71.e6.2ea9	74a602c0-5f63-4a26-87f9-4cf55a3ee6fb	WholeExome	METRIC.Frac_NA	3.5e-05
